product_family,articulation,pose,product_weight_g,height_cm,complexity_score,stability_index,center_of_gravity,hair_length,dress_length,accessory_count,accessory_weight_g,fragility_score,attachment_needed,fragile_parts_count,movement_score,protection_score,packaging_complexity,overall_risk,recommended_head_strap,recommended_waist_strap,recommended_hand_strap,recommended_leg_strap,recommended_back_support,recommended_base_support,recommended_material,eco_score,relative_cost,recyclable
Fashionistas,Standard,One Hand on Hip,113,29.2,3,8,Center,Long,Knee,3,21.0,5,1,1,1,4,4,2.6,1,2,0,0,0,0,Recycled Cardboard + rPET,94.0,0.85,Yes
Careers,Standard,Arms Open,118,29.0,5,7,Center,Long,Knee,0,0.0,0,0,1,3,1,5,2.7,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Made to Move,Made to Move,One Leg Bent,125,29.2,7,5,Left,Short,Short,4,34.0,7,3,0,6,4,9,5.9,1,3,1,1,0,0,rPET,78.0,1.1,Yes
Careers,Standard,Standing Straight,121,29.2,5,7,Center,Short,Knee,2,20.0,3,1,0,2,2,5,2.6,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Careers,Standard,One Hand Up,129,29.0,5,7,Center,Medium,Knee,0,0.0,0,0,0,3,0,5,2.4,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Careers,Standard,Two Hands Up,128,29.2,5,7,Center,Very Long,Knee,2,36.0,3,2,2,4,5,5,4.6,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Fashionistas,Standard,One Hand on Hip,112,29.0,3,8,Center,Medium,Knee,2,26.0,2,2,0,1,3,3,2.1,0,2,1,0,0,0,Recycled Cardboard + rPET,94.0,0.85,Yes
Made to Move,Made to Move,Sitting,115,29.2,7,5,Left,Long,Knee,0,0.0,0,0,1,3,1,8,3.3,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Careers,Standard,One Hand on Hip,116,29.0,5,7,Center,Medium,Long,5,70.0,8,3,1,2,6,7,4.4,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Careers,Standard,One Hand on Hip,125,29.0,5,7,Center,Long,Knee,3,22.0,5,2,1,3,5,6,4.3,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Dreamtopia,Standard,Standing Straight,130,30.2,7,5,Back,Medium,Short,0,0.0,0,0,0,5,0,7,3.6,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Signature,Made to Move,One Leg Bent,131,29.0,8,6,Center,Medium,Short,1,12.0,2,1,0,6,1,9,4.8,0,3,0,1,0,0,rPET,82.0,1.1,Yes
Signature,Made to Move,Standing Straight,144,29.2,8,6,Center,Medium,Knee,2,33.0,3,2,0,5,3,9,5.1,0,3,1,0,0,0,rPET,82.0,1.1,Yes
Made to Move,Made to Move,One Leg Bent,127,29.0,7,5,Left,Medium,Long,0,0.0,0,0,1,6,1,8,4.6,0,3,0,1,0,0,rPET,82.0,1.1,Yes
Made to Move,Made to Move,One Leg Bent,117,29.0,7,5,Left,Short,Short,2,12.0,2,0,0,5,1,8,4.2,0,3,0,1,0,0,rPET,82.0,1.1,Yes
Extra,Curvy,One Hand Up,136,30.0,6,6,Center,Very Long,Short,2,19.0,3,1,2,5,3,6,4.5,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Fashionistas,Standard,One Hand Up,114,29.2,3,8,Center,Short,Long,1,15.0,1,1,1,1,1,3,1.4,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Fashionistas,Standard,Standing Straight,112,29.0,3,8,Center,Short,Long,0,0.0,0,0,1,0,1,3,1.0,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Made to Move,Made to Move,Sitting,115,29.2,7,5,Left,Short,Knee,0,0.0,0,0,0,3,0,8,3.0,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Signature,Made to Move,One Hand Up,136,29.0,8,6,Center,Medium,Short,2,24.0,2,1,0,5,2,9,4.8,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Signature,Made to Move,Standing Straight,146,29.2,8,6,Center,Long,Long,0,0.0,0,0,2,5,2,9,4.8,0,3,0,0,0,1,rPET,79.0,1.1,Yes
Made to Move,Made to Move,Standing Straight,119,29.0,7,5,Left,Short,Short,2,10.0,3,1,0,3,1,8,3.3,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Signature,Made to Move,Sitting,143,29.2,8,6,Center,Medium,Short,4,69.0,7,4,0,5,6,10,6.4,1,4,2,0,1,0,Virgin PET,50.0,1.0,Yes
Dreamtopia,Standard,Walking,129,30.0,7,5,Back,Medium,Short,2,8.0,3,0,0,8,1,7,5.4,0,3,0,2,0,1,rPET,75.0,1.1,Yes
Made to Move,Made to Move,One Hand on Hip,130,29.0,7,5,Left,Long,Knee,5,49.0,9,2,1,5,6,10,6.4,1,4,1,0,1,0,Virgin PET,52.0,1.0,Yes
Dreamtopia,Standard,Arms Open,132,30.2,7,5,Back,Long,Short,4,31.0,8,1,1,7,4,8,6.2,1,4,0,0,1,0,Virgin PET,54.0,1.0,Yes
Made to Move,Made to Move,One Hand on Hip,126,29.2,7,5,Left,Long,Knee,3,24.0,6,1,1,5,4,9,5.4,1,3,0,0,0,0,rPET,82.0,1.1,Yes
Fashionistas,Standard,Standing Straight,120,29.2,3,8,Center,Long,Short,1,16.0,2,1,1,1,2,3,1.8,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Dreamtopia,Standard,Two Hands Up,134,30.0,7,5,Back,Medium,Short,3,21.0,5,1,0,7,3,8,5.8,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Extra,Curvy,One Hand Up,136,30.0,6,6,Center,Long,Short,0,0.0,0,0,1,5,1,6,3.8,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Signature,Made to Move,Walking,146,29.0,8,6,Center,Medium,Short,4,19.0,7,0,0,8,2,10,6.3,0,4,0,2,1,1,Virgin PET,47.0,1.0,Yes
Signature,Made to Move,One Leg Bent,143,29.0,8,6,Center,Medium,Knee,3,32.0,3,2,0,7,3,10,6.2,0,4,1,1,1,0,Virgin PET,52.0,1.0,Yes
Extra,Curvy,Arms Open,137,30.0,6,6,Center,Short,Short,5,41.0,8,3,0,6,5,8,6.0,1,3,1,0,1,0,Virgin PET,54.0,1.0,Yes
Made to Move,Made to Move,Walking,124,29.2,7,5,Left,Long,Knee,2,24.0,3,2,1,7,4,8,6.2,1,4,1,1,1,0,Virgin PET,50.0,1.0,Yes
Signature,Made to Move,Walking,132,29.0,8,6,Center,Short,Short,1,8.0,2,1,0,7,1,9,5.3,0,3,0,1,0,0,rPET,82.0,1.1,Yes
Careers,Standard,One Hand Up,123,29.0,5,7,Center,Long,Knee,2,40.0,3,2,1,3,5,5,4.1,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Fashionistas,Standard,One Hand Up,112,29.2,3,8,Center,Long,Long,0,0.0,0,0,2,1,2,3,1.8,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Signature,Made to Move,One Hand Up,139,29.0,8,6,Center,Long,Knee,3,35.0,3,1,1,5,3,10,5.3,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Careers,Standard,Standing Straight,115,29.0,5,7,Center,Long,Long,1,6.0,1,0,2,1,2,5,2.2,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Signature,Made to Move,Arms Open,137,29.0,8,6,Center,Long,Short,1,3.0,1,0,1,6,1,9,4.8,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Dreamtopia,Standard,Arms Open,134,30.2,7,5,Back,Long,Short,0,0.0,0,0,1,7,1,7,4.9,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Extra,Curvy,One Hand on Hip,131,30.0,6,6,Center,Long,Knee,1,12.0,2,1,1,5,2,6,4.2,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Made to Move,Made to Move,Arms Open,115,29.0,7,5,Left,Short,Long,2,9.0,6,0,1,5,3,8,4.9,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Dreamtopia,Standard,One Leg Bent,120,30.0,7,5,Back,Long,Long,2,6.0,2,0,2,7,3,7,5.6,0,3,0,1,0,0,rPET,82.0,1.1,Yes
Extra,Curvy,One Hand on Hip,138,30.2,6,6,Center,Long,Knee,5,55.0,6,3,1,5,6,8,6.0,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Dreamtopia,Standard,Two Hands Up,120,30.2,7,5,Back,Long,Long,1,10.0,2,0,2,7,3,7,5.6,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Fashionistas,Standard,Sitting,115,29.2,3,8,Center,Long,Knee,4,14.0,6,0,1,0,3,4,1.8,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Made to Move,Made to Move,Standing Straight,127,29.0,7,5,Left,Medium,Short,4,34.0,6,2,0,4,4,9,5.0,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Fashionistas,Standard,Arms Open,115,29.2,3,8,Center,Very Long,Knee,2,12.0,3,1,2,2,3,3,2.6,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Careers,Standard,Two Hands Up,118,29.2,5,7,Center,Long,Short,5,74.0,8,4,1,3,7,7,5.2,2,3,2,0,1,0,rPET,70.0,1.1,Yes
Dreamtopia,Standard,One Hand on Hip,120,30.0,7,5,Back,Short,Long,3,23.0,5,1,1,6,4,8,5.7,1,3,0,0,0,0,rPET,82.0,1.1,Yes
Signature,Made to Move,One Hand on Hip,146,29.0,8,6,Center,Medium,Short,0,0.0,0,0,0,6,0,9,4.5,0,3,0,0,0,1,rPET,79.0,1.1,Yes
Signature,Made to Move,One Hand on Hip,143,29.0,8,6,Center,Short,Short,4,25.0,5,1,0,6,3,10,5.8,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Signature,Made to Move,One Hand Up,132,29.0,8,6,Center,Very Long,Long,1,5.0,1,0,3,5,3,9,5.1,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Extra,Curvy,Two Hands Up,134,30.0,6,6,Center,Long,Knee,1,16.0,1,1,1,6,1,6,4.2,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Extra,Curvy,One Leg Bent,134,30.2,6,6,Center,Medium,Knee,3,18.0,6,1,0,6,2,7,4.8,0,3,0,1,0,0,rPET,82.0,1.1,Yes
Made to Move,Made to Move,Sitting,115,29.0,7,5,Left,Medium,Long,4,22.0,9,1,1,3,4,9,4.6,1,3,0,0,0,0,rPET,82.0,1.1,Yes
Extra,Curvy,One Leg Bent,140,30.0,6,6,Center,Medium,Short,0,0.0,0,0,0,7,0,6,4.4,0,3,0,1,0,0,rPET,82.0,1.1,Yes
Made to Move,Made to Move,Sitting,129,29.0,7,5,Left,Long,Knee,2,9.0,2,0,1,4,2,8,4.1,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Signature,Made to Move,Arms Open,135,29.0,8,6,Center,Medium,Long,5,68.0,7,4,1,6,7,10,7.2,2,4,2,0,1,0,Virgin PET,48.0,1.0,Yes
Dreamtopia,Standard,One Hand on Hip,132,30.2,7,5,Back,Short,Knee,3,35.0,6,2,0,6,4,8,5.7,2,3,1,0,0,0,rPET,78.0,1.1,Yes
Dreamtopia,Standard,One Hand Up,125,30.0,7,5,Back,Long,Knee,5,26.0,8,2,1,6,5,9,6.2,1,4,1,0,1,0,Virgin PET,52.0,1.0,Yes
Dreamtopia,Standard,Two Hands Up,126,30.0,7,5,Back,Medium,Knee,0,0.0,0,0,0,7,0,7,4.6,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Made to Move,Made to Move,One Hand Up,117,29.0,7,5,Left,Long,Knee,3,18.0,4,0,1,4,2,9,4.3,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Careers,Standard,One Hand on Hip,123,29.0,5,7,Center,Long,Knee,0,0.0,0,0,1,3,1,5,2.7,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Dreamtopia,Standard,Walking,134,30.0,7,5,Back,Medium,Short,1,2.0,1,0,0,8,0,7,5.0,0,3,0,2,1,1,rPET,69.0,1.1,Yes
Extra,Curvy,Standing Straight,128,30.2,6,6,Center,Very Long,Short,5,64.0,9,4,2,4,8,8,6.2,2,4,2,0,1,0,Virgin PET,48.0,1.0,Yes
Signature,Made to Move,Two Hands Up,144,29.0,8,6,Center,Short,Knee,5,62.0,8,4,0,7,6,10,7.2,1,4,2,0,1,0,Virgin PET,50.0,1.0,Yes
Signature,Made to Move,Sitting,138,29.0,8,6,Center,Short,Short,0,0.0,0,0,0,4,0,9,3.6,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Fashionistas,Standard,Arms Open,111,29.2,3,8,Center,Long,Short,5,43.0,9,2,1,2,6,5,4.0,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Fashionistas,Standard,Sitting,112,29.0,3,8,Center,Medium,Short,0,0.0,0,0,0,0,0,3,0.6,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Made to Move,Made to Move,One Leg Bent,121,29.0,7,5,Left,Long,Long,4,39.0,8,2,2,6,6,9,6.6,1,4,1,1,1,0,Virgin PET,50.0,1.0,Yes
Dreamtopia,Standard,Standing Straight,123,30.0,7,5,Back,Long,Knee,4,65.0,8,3,1,5,6,8,6.0,1,2,1,0,0,0,rPET,82.0,1.1,Yes
Extra,Curvy,One Hand on Hip,131,30.0,6,6,Center,Medium,Short,0,0.0,0,0,0,5,0,6,3.4,0,1,0,0,0,0,rPET,88.0,1.1,Yes
Signature,Made to Move,Two Hands Up,130,29.0,8,6,Center,Medium,Short,5,38.0,10,2,0,6,4,10,6.1,1,3,1,0,1,0,Virgin PET,54.0,1.0,Yes
Careers,Standard,Walking,118,29.2,5,7,Center,Short,Short,3,34.0,5,2,0,4,4,6,4.4,1,3,1,1,0,0,rPET,78.0,1.1,Yes
Extra,Curvy,Arms Open,135,30.2,6,6,Center,Long,Knee,4,30.0,9,2,1,6,5,7,5.8,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Dreamtopia,Standard,Two Hands Up,127,30.0,7,5,Back,Short,Short,0,0.0,0,0,0,7,0,7,4.6,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Made to Move,Made to Move,Standing Straight,125,29.0,7,5,Left,Medium,Knee,0,0.0,0,0,0,4,0,8,3.4,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Signature,Made to Move,Two Hands Up,138,29.2,8,6,Center,Long,Short,1,18.0,3,1,1,6,2,9,5.2,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Careers,Standard,One Hand Up,130,29.0,5,7,Center,Long,Knee,4,31.0,5,2,1,3,5,6,4.3,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Careers,Standard,Walking,125,29.2,5,7,Center,Long,Knee,5,27.0,7,0,1,5,4,7,5.0,1,3,0,1,0,0,rPET,80.0,1.1,Yes
Dreamtopia,Standard,One Hand on Hip,130,30.2,7,5,Back,Medium,Short,4,26.0,8,2,0,6,4,8,5.7,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Made to Move,Made to Move,One Hand on Hip,122,29.2,7,5,Left,Long,Long,1,25.0,1,1,2,5,3,8,4.9,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Dreamtopia,Standard,Two Hands Up,123,30.0,7,5,Back,Medium,Knee,1,5.0,1,0,0,7,0,7,4.6,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Made to Move,Made to Move,One Hand Up,116,29.0,7,5,Left,Medium,Short,1,18.0,1,1,0,4,0,8,3.4,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Made to Move,Made to Move,One Hand Up,116,29.0,7,5,Left,Very Long,Knee,3,55.0,5,2,2,4,7,9,6.0,2,4,1,0,1,0,Virgin PET,50.0,1.0,Yes
Extra,Curvy,Sitting,135,30.0,6,6,Center,Medium,Knee,0,0.0,0,0,0,4,0,6,3.0,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Dreamtopia,Standard,Sitting,133,30.2,7,5,Back,Long,Knee,1,25.0,1,1,1,5,2,7,4.4,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Fashionistas,Standard,Arms Open,115,29.0,3,8,Center,Medium,Knee,5,47.0,10,3,0,2,5,5,3.6,1,2,1,0,0,0,rPET,82.0,1.1,Yes
Signature,Made to Move,Walking,137,29.2,8,6,Center,Long,Knee,1,5.0,3,0,1,7,2,9,5.6,0,3,0,1,0,0,rPET,82.0,1.1,Yes
Dreamtopia,Standard,Arms Open,120,30.0,7,5,Back,Long,Short,1,4.0,1,0,1,7,1,7,4.9,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Made to Move,Made to Move,Standing Straight,119,29.0,7,5,Left,Short,Short,4,34.0,4,2,0,3,3,9,4.2,0,3,1,0,0,0,rPET,82.0,1.1,Yes
Extra,Curvy,Walking,131,30.0,6,6,Center,Long,Knee,3,36.0,4,3,1,7,4,7,6.0,1,3,1,1,0,0,rPET,78.0,1.1,Yes
Signature,Made to Move,One Hand Up,137,29.0,8,6,Center,Short,Short,2,22.0,2,1,0,5,2,9,4.8,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Signature,Made to Move,One Leg Bent,150,29.0,8,6,Center,Medium,Knee,0,0.0,0,0,0,7,0,9,5.0,0,3,0,1,0,1,rPET,77.0,1.1,Yes
Signature,Made to Move,Two Hands Up,141,29.0,8,6,Center,Medium,Knee,3,15.0,4,1,0,7,1,10,5.5,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Fashionistas,Standard,Walking,116,29.0,3,8,Center,Long,Knee,0,0.0,0,0,1,3,1,3,2.3,0,2,0,1,0,0,Recycled Cardboard + rPET,94.0,0.85,Yes
Extra,Curvy,Walking,138,30.0,6,6,Center,Long,Long,4,34.0,7,2,2,7,6,7,6.6,1,4,1,1,1,0,Virgin PET,50.0,1.0,Yes
Fashionistas,Standard,One Hand on Hip,112,29.0,3,8,Center,Medium,Short,2,24.0,3,2,0,1,3,3,2.1,0,2,1,0,0,0,Recycled Cardboard + rPET,94.0,0.85,Yes
Careers,Standard,Arms Open,130,29.0,5,7,Center,Medium,Knee,1,14.0,1,1,0,4,0,5,2.8,0,2,0,0,0,0,Recycled Cardboard + rPET,96.0,0.85,Yes
Extra,Curvy,One Leg Bent,131,30.0,6,6,Center,Short,Knee,5,45.0,8,3,0,6,5,8,6.0,1,4,1,1,1,0,Virgin PET,50.0,1.0,Yes
Extra,Curvy,Standing Straight,138,30.0,6,6,Center,Very Long,Short,3,30.0,6,2,2,4,6,7,5.3,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Made to Move,Made to Move,One Leg Bent,117,29.0,7,5,Left,Long,Long,0,0.0,0,0,2,5,2,8,4.6,0,3,0,1,0,0,rPET,82.0,1.1,Yes
Made to Move,Made to Move,Arms Open,120,29.0,7,5,Left,Long,Long,5,78.0,10,5,2,6,8,10,7.5,2,4,2,0,1,0,Virgin PET,48.0,1.0,Yes
Careers,Standard,One Hand on Hip,130,29.2,5,7,Center,Long,Knee,5,43.0,6,3,1,3,6,7,4.8,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Careers,Standard,One Hand Up,122,29.0,5,7,Center,Medium,Long,2,32.0,4,2,1,3,4,5,3.8,1,2,1,0,0,0,rPET,82.0,1.1,Yes
Signature,Made to Move,Standing Straight,150,29.0,8,6,Center,Medium,Knee,5,36.0,7,1,0,5,3,10,5.3,0,3,0,0,0,1,rPET,79.0,1.1,Yes
Extra,Curvy,Walking,132,30.2,6,6,Center,Long,Knee,1,5.0,1,0,1,7,1,6,4.7,0,2,0,1,0,0,rPET,84.0,1.1,Yes
Careers,Standard,Walking,117,29.2,5,7,Center,Long,Short,5,69.0,11,4,1,4,7,7,5.6,2,3,2,1,1,0,rPET,68.0,1.1,Yes
Made to Move,Made to Move,Sitting,117,29.2,7,5,Left,Very Long,Long,1,14.0,3,1,3,3,4,8,4.4,1,3,0,0,0,0,rPET,82.0,1.1,Yes
Signature,Made to Move,Arms Open,139,29.2,8,6,Center,Very Long,Knee,3,30.0,6,3,2,6,6,10,6.8,1,4,1,0,1,0,Virgin PET,52.0,1.0,Yes
Made to Move,Made to Move,Walking,117,29.0,7,5,Left,Long,Knee,2,26.0,3,2,1,6,4,8,5.7,1,3,1,1,0,0,rPET,78.0,1.1,Yes
Careers,Standard,One Leg Bent,121,29.2,5,7,Center,Medium,Short,1,6.0,1,0,0,4,0,5,2.8,0,2,0,1,0,0,Recycled Cardboard + rPET,94.0,0.85,Yes
Extra,Curvy,Standing Straight,125,30.0,6,6,Center,Short,Knee,4,33.0,4,2,0,4,3,7,4.2,0,3,1,0,0,0,rPET,82.0,1.1,Yes
Dreamtopia,Standard,Standing Straight,129,30.2,7,5,Back,Medium,Short,1,18.0,1,1,0,5,0,7,3.6,0,2,0,0,0,0,rPET,86.0,1.1,Yes
Made to Move,Made to Move,One Leg Bent,121,29.0,7,5,Left,Short,Long,3,25.0,6,1,1,6,4,9,5.9,1,3,0,1,0,0,rPET,80.0,1.1,Yes
Made to Move,Made to Move,Two Hands Up,121,29.0,7,5,Left,Long,Long,1,18.0,3,1,2,6,3,8,5.4,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Signature,Made to Move,Two Hands Up,143,29.0,8,6,Center,Long,Knee,5,75.0,10,3,1,7,6,10,7.2,1,4,1,0,1,0,Virgin PET,52.0,1.0,Yes
Extra,Curvy,Two Hands Up,137,30.0,6,6,Center,Medium,Short,4,30.0,6,2,0,6,4,7,5.5,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Signature,Made to Move,Walking,133,29.0,8,6,Center,Short,Knee,0,0.0,0,0,0,7,0,9,5.0,0,3,0,1,0,0,rPET,82.0,1.1,Yes
Dreamtopia,Standard,Two Hands Up,121,30.0,7,5,Back,Medium,Knee,3,22.0,4,2,0,7,3,8,5.8,0,3,1,0,0,0,rPET,82.0,1.1,Yes
Dreamtopia,Standard,One Hand on Hip,128,30.0,7,5,Back,Medium,Short,3,43.0,6,3,0,6,5,8,6.0,1,4,1,0,1,0,Virgin PET,52.0,1.0,Yes
Extra,Curvy,One Hand on Hip,135,30.0,6,6,Center,Long,Long,5,34.0,7,1,2,5,5,8,5.6,1,3,0,0,0,0,rPET,82.0,1.1,Yes
Fashionistas,Standard,Two Hands Up,115,29.0,3,8,Center,Long,Short,5,50.0,9,3,1,2,6,5,4.0,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Fashionistas,Standard,Sitting,112,29.0,3,8,Center,Long,Long,2,10.0,2,0,2,0,3,3,1.6,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Made to Move,Made to Move,One Hand Up,122,29.0,7,5,Left,Medium,Knee,3,30.0,3,2,0,5,3,9,5.1,0,3,1,0,0,0,rPET,82.0,1.1,Yes
Dreamtopia,Standard,Two Hands Up,126,30.0,7,5,Back,Very Long,Long,2,11.0,3,1,3,7,4,7,6.0,1,2,0,0,0,0,rPET,84.0,1.1,Yes
Made to Move,Made to Move,Two Hands Up,116,29.2,7,5,Left,Medium,Knee,4,33.0,7,2,0,5,4,9,5.4,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Extra,Curvy,One Leg Bent,127,30.0,6,6,Center,Medium,Long,3,17.0,4,1,1,6,2,7,4.8,0,3,0,1,0,0,rPET,82.0,1.1,Yes
Careers,Standard,One Hand on Hip,118,29.2,5,7,Center,Medium,Knee,5,47.0,7,2,0,2,5,7,4.0,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Extra,Curvy,One Hand on Hip,126,30.0,6,6,Center,Medium,Short,5,58.0,9,3,0,5,5,8,5.6,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Signature,Made to Move,Standing Straight,144,29.0,8,6,Center,Long,Long,3,42.0,7,2,2,5,7,10,6.7,2,4,1,0,1,0,Virgin PET,50.0,1.0,Yes
Extra,Curvy,Standing Straight,132,30.0,6,6,Center,Medium,Knee,5,65.0,9,4,0,4,6,8,5.5,1,3,2,0,0,0,rPET,78.0,1.1,Yes
Made to Move,Made to Move,Standing Straight,115,29.0,7,5,Left,Very Long,Short,3,58.0,4,3,2,3,6,9,5.2,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Made to Move,Made to Move,One Hand Up,123,29.2,7,5,Left,Medium,Long,0,0.0,0,0,1,5,1,8,4.2,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Fashionistas,Standard,One Hand on Hip,118,29.2,3,8,Center,Long,Short,5,32.0,6,2,1,1,5,5,3.2,1,2,1,0,0,0,rPET,82.0,1.1,Yes
Made to Move,Made to Move,Two Hands Up,117,29.2,7,5,Left,Medium,Long,5,70.0,8,3,1,5,6,10,6.4,1,4,1,0,1,0,Virgin PET,52.0,1.0,Yes
Dreamtopia,Standard,One Hand on Hip,133,30.0,7,5,Back,Medium,Short,0,0.0,0,0,0,6,0,7,4.1,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Careers,Standard,One Leg Bent,125,29.2,5,7,Center,Long,Short,0,0.0,0,0,1,4,1,5,3.2,0,2,0,1,0,0,rPET,84.0,1.1,Yes
Dreamtopia,Standard,One Hand on Hip,124,30.0,7,5,Back,Very Long,Knee,0,0.0,0,0,2,6,2,7,4.8,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Signature,Made to Move,One Hand on Hip,148,29.2,8,6,Center,Short,Short,3,21.0,4,1,0,6,2,10,5.4,0,3,0,0,0,1,rPET,79.0,1.1,Yes
Made to Move,Made to Move,Walking,126,29.2,7,5,Left,Very Long,Short,5,69.0,8,4,2,7,8,10,8.0,2,4,2,1,1,0,Virgin PET,46.0,1.0,Yes
Dreamtopia,Standard,Sitting,127,30.0,7,5,Back,Medium,Knee,3,38.0,4,2,0,5,3,8,4.9,0,3,1,0,0,0,rPET,82.0,1.1,Yes
Dreamtopia,Standard,Arms Open,129,30.0,7,5,Back,Medium,Knee,4,61.0,5,4,0,7,6,8,6.8,1,4,2,0,1,0,Virgin PET,50.0,1.0,Yes
Fashionistas,Standard,Standing Straight,110,29.2,3,8,Center,Medium,Knee,5,37.0,7,2,0,0,4,5,2.4,1,2,1,0,0,0,Recycled Cardboard + rPET,92.0,0.85,Yes
Careers,Standard,One Hand Up,130,29.2,5,7,Center,Long,Knee,5,23.0,7,1,1,3,4,7,4.2,2,3,0,0,0,0,rPET,80.0,1.1,Yes
Made to Move,Made to Move,Standing Straight,125,29.0,7,5,Left,Long,Short,5,63.0,5,2,1,4,6,10,5.9,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Signature,Made to Move,Standing Straight,131,29.0,8,6,Center,Long,Knee,2,9.0,5,0,1,4,3,9,4.6,0,3,0,0,0,0,rPET,84.0,1.1,Yes
Signature,Made to Move,Sitting,135,29.0,8,6,Center,Long,Short,5,45.0,7,3,1,4,6,10,5.9,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Dreamtopia,Standard,Sitting,132,30.0,7,5,Back,Short,Knee,2,45.0,2,2,0,5,4,7,5.0,1,3,1,0,0,0,rPET,80.0,1.1,Yes
Extra,Curvy,Two Hands Up,137,30.0,6,6,Center,Short,Knee,4,31.0,6,2,0,6,4,7,5.5,2,3,1,0,0,0,rPET,78.0,1.1,Yes
Fashionistas,Standard,Sitting,114,29.0,3,8,Center,Long,Knee,3,14.0,7,0,1,0,3,4,1.8,0,1,0,0,0,0,Recycled Cardboard + rPET,98.0,0.85,Yes
Dreamtopia,Standard,Arms Open,135,30.0,7,5,Back,Long,Short,5,54.0,6,3,1,7,6,9,7.0,1,4,1,0,1,0,Virgin PET,52.0,1.0,Yes
